668	613
1391	178
1694	203
2022	203
2193	435
2353	484
2662	178
2840	203
3052	203
778	104
778	10
1288	546
1288	404
1288	279
1288	609
2706	91
4718	91
104	305
104	496
2335	521
2706	116
2706	91
2706	232
3556	116
3556	560
3556	638
3556	285
3556	8
3556	652
3556	43
4878	201
4878	116
4878	235
4878	303
4878	285
4878	402
4878	156
4878	224
4878	679
4973	584
4973	295
4973	341
1270	679
2011	402
2011	679
2012	679
1966	437
1966	646
916	567
916	511
916	489
916	431
916	628
4246	431
260	403
260	207
260	402
2762	468
2959	468
3996	697
32	44
32	285
32	679
50	97
318	545
318	204
318	566
356	505
356	511
356	441
750	692
750	38
750	546
750	279
750	327
1079	584
1136	318
1136	279
1175	44
1175	156
1193	502
1193	285
1201	303
1252	98
1625	502
1653	448
1653	591
1653	160
1653	71
1653	401
1784	88
1784	285
1784	584
1784	513
2329	391
2329	401
2329	224
2571	44
2571	402
2571	554
3000	340
3000	532
3000	156
3359	614
3359	1
3363	511
3363	614
3363	545
4848	31
4978	434
4978	295
4993	340
4993	434
4993	183
4993	115
4993	69
608	692
974	498
471	88
1658	322
1658	262
3988	94
2231	189
290	199
2858	614
2858	8
2858	193
2858	224
2959	193
2959	224
2959	451
3006	542
3006	631
4262	697
4799	585
239	209
318	476
593	285
765	546
765	75
1197	546
1213	97
1265	156
1358	235
1358	669
1777	105
1777	88
1923	546
2174	93
2478	546
2478	318
2478	584
2571	44
2571	554
2581	116
2918	546
2918	523
2959	156
3147	476
3250	529
3510	209
2571	259
2571	299
2571	156
2571	224
558	435
1203	452
2661	178
2819	484
3153	435
3997	435
4189	270
4189	203
4795	556
7	295
11	118
39	295
62	317
62	410
62	303
62	211
236	546
236	463
236	295
252	595
252	295
318	510
318	476
318	13
500	258
514	546
527	567
527	78
529	622
539	295
597	196
597	295
685	612
685	53
685	236
685	644
685	313
802	442
802	247
914	487
914	295
919	487
1028	487
1073	314
1073	570
1073	580
1088	295
1197	511
1197	546
1197	319
1197	295
1242	631
1265	262
1307	295
1380	487
1485	546
1485	95
1541	546
1541	295
1541	540
1541	568
1569	469
1580	278
1619	176
1909	278
1909	454
2005	19
2005	478
2078	511
2302	642
2302	546
2302	95
2302	444
2321	567
2324	381
2324	350
2324	571
2324	244
2324	529
2396	295
2724	669
2724	469
2918	546
2959	115
3039	678
3046	292
3114	311
3114	319
3408	604
3717	251
3717	185
3916	521
3916	116
3916	678
3916	193
4054	48
4054	295
4344	162
4447	546
4558	546
4963	564
4995	219
296	321
903	511
903	132
903	387
914	88
1207	452
1921	250
1921	120
1921	387
3114	311
3114	179
3114	290
3578	128
4370	23
4370	161
4370	330
4370	402
296	128
296	10
296	277
296	451
364	614
805	277
1136	318
1298	443
1298	10
1298	277
1298	156
1527	308
1653	308
1653	402
1732	692
1732	10
1732	618
2329	132
2329	277
2571	259
2571	308
2571	156
2688	277
2692	156
2959	235
2959	156
2997	104
2997	120
2997	156
3262	10
3262	156
3418	277
4226	288
4848	288
4848	156
4878	235
4878	402
4878	156
251	117
1484	565
1484	513
1484	91
2683	88
4027	340
260	183
260	605
4623	380
558	435
1422	484
2661	178
2819	484
3153	435
3997	435
4189	270
4189	203
4783	176
260	128
260	340
260	402
780	128
780	340
780	137
780	659
780	226
780	484
780	99
780	81
780	319
780	402
780	187
1196	128
1196	340
1196	511
1196	207
1196	303
1196	402
1196	194
1196	168
1197	128
1197	511
1197	546
1197	409
1197	207
1197	88
1197	417
1197	34
1197	19
1197	584
1197	566
1197	295
1197	266
1210	207
1210	402
1210	194
1210	370
2959	128
2959	132
2959	299
2959	285
2959	584
2959	156
2959	451
4369	128
4369	251
4993	340
4993	207
4993	133
4993	147
4993	303
4993	216
4993	136
97	55
288	120
288	387
288	405
3742	55
4848	288
2571	93
2571	161
2571	474
2571	61
2571	402
2571	156
2571	224
2291	577
4878	577
